ets Jul 29 2019 12:21:46,0
rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT),0
configsip: 0, SPIWP:0xee,0
clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00,0
mode:DIO, clock div:2,0
load:0x3fff0030,len:1184,0
load:0x40078000,len:13232,0
load:0x40080400,len:3028,0
entry 0x400805e4,0
895,401,338,532,0
1023,803,1020,482,0
633,424,581,1023,0
277,220,471,572,0
436,503,598,624,0
455,176,347,930,0
504,672,486,524,0
553,1023,343,884,0
28,1023,763,895,0
165,548,772,1023,0
269,671,267,499,0
465,700,571,528,0
423,297,0,310,0
1012,708,445,1023,0
776,535,774,1023,0
525,463,575,620,0
984,464,1023,1023,0
53,304,451,16,0
422,1023,361,677,0
723,272,436,1023,0
791,664,784,1023,0
734,268,598,815,0
452,412,412,456,0
488,445,588,489,0
851,284,756,534,0
341,437,1023,612,0
456,1023,551,347,0
591,964,1023,1023,0
929,1023,0,284,0
49,629,0,0,0
356,173,481,644,0
222,648,171,359,0
427,562,228,270,0
796,895,846,816,0
586,293,460,79,0
711,351,371,0,0
525,834,1023,692,0
159,329,0,0,0
1023,223,1023,492,0
1023,0,1023,1023,0
737,895,753,771,0
589,406,109,831,0
529,484,303,552,0
335,499,473,592,0
856,549,1023,660,0
488,356,464,1023,0
414,540,216,487,0
204,235,1023,620,0
94,144,596,621,0
693,580,0,0,0
535,316,319,564,0
464,463,363,876,0
359,168,365,173,0
688,672,753,1023,0
425,588,616,321,0
668,505,324,184,0
1023,775,652,1023,0
460,228,0,95,0
244,0,616,931,0
1023,112,0,1023,0
688,914,609,739,0
465,436,709,364,0
924,604,673,821,0
491,912,661,469,0
629,741,405,573,0
506,263,329,427,0
699,79,517,633,0
776,1023,1008,1020,0
349,0,534,144,0
176,0,1,1023,0
357,378,389,276,0
413,540,155,511,0
576,127,660,267,0
647,784,335,788,0
397,559,249,61,0
1021,455,1023,196,0
628,652,541,739,0
250,0,0,223,0
172,764,748,228,0
136,1023,1023,351,0
564,808,407,740,0
592,588,1023,0,0
657,615,720,828,0
572,514,439,580,0
910,617,368,434,0
409,752,598,413,0
652,55,458,1023,0
912,840,0,167,0
467,84,200,500,0
0,0,1023,224,0
225,540,244,1023,0
460,273,1023,192,0
301,169,519,316,0
931,846,638,586,0
694,235,318,125,0
290,454,633,389,0
596,431,656,694,0
244,127,0,79,0
438,523,724,752,0
1023,448,0,825,0
604,712,871,1023,0
315,276,586,332,0
322,1023,989,626,0
609,526,637,565,0
632,1023,813,472,0
764,586,532,75,0
404,1023,434,515,0
141,834,954,1023,0
854,230,0,236,0
495,456,1023,639,0
253,373,635,1023,0
115,1023,607,207,0
372,408,358,633,0
828,649,563,685,0
336,0,67,273,0
727,621,578,117,0
286,453,597,682,0
148,165,1023,0,0
502,511,428,1023,0
335,880,1023,428,0
397,678,65,68,0
649,624,128,611,0
859,700,825,861,0
394,755,186,433,0
703,325,556,414,0
468,588,799,561,0
616,59,17,296,0
804,629,605,256,0
555,281,460,1023,0
35,0,717,489,0
444,470,1023,1023,0
543,617,532,304,0
311,181,359,575,0
804,1023,531,651,0
551,311,336,156,0
553,367,639,531,0
735,687,617,1023,0
355,0,143,1023,0
553,693,624,1023,0
684,727,211,244,0
774,477,47,410,0
431,712,527,349,0
871,1023,572,891,0
352,564,1007,329,0
588,540,506,156,0
454,621,137,1023,0
368,397,224,355,0
1023,736,1023,1023,0
304,213,377,464,0
0,0,705,744,0
108,163,1023,671,0
495,267,576,1004,0
375,198,317,487,0
841,780,381,513,0
273,491,660,736,0
300,630,550,487,0
911,447,639,791,0
458,0,614,117,0
629,858,620,200,0
212,535,369,452,0
503,0,0,588,0
635,580,343,0,0
558,0,636,639,0
627,481,559,722,0
411,711,792,390,0
477,683,707,603,0
261,246,153,388,0
912,485,1023,1023,0
57,276,41,839,0
523,883,993,884,0
550,719,331,408,0
243,373,595,731,0
416,357,238,319,0
390,599,0,754,0
460,431,356,636,0
769,404,356,95,0
395,527,722,639,0
711,0,428,524,0
335,1023,0,8,0
1023,0,164,111,0
423,0,144,470,0
638,612,454,268,0
458,412,408,689,0
1023,836,322,362,0
983,298,0,132,0
345,255,785,724,0
103,127,0,198,0
1023,257,64,1023,0
413,950,267,630,0
448,916,788,1023,0
1023,1023,668,639,0
454,536,183,223,0
419,316,392,953,0
685,543,416,366,0
506,593,1023,492,0
398,256,1023,293,0
831,656,384,1023,0
67,0,0,583,0
267,1023,877,639,0
541,293,432,254,0
36,0,276,876,0
529,395,533,444,0
480,713,692,449,0
540,528,656,545,0
648,351,557,754,0
626,203,399,1023,0
468,303,217,107,0
1023,356,1023,0,0
83,165,1023,546,0
396,646,863,895,0
285,0,1023,488,0
866,960,389,581,0
228,0,293,560,0
559,447,358,1023,0
364,91,154,323,0
360,317,684,276,0
77,570,908,0,0
0,349,288,1023,0
1023,1023,392,543,0
100,324,335,63,0
175,222,612,656,0
367,215,482,300,0
802,734,564,711,0
543,380,9,553,0
510,1023,668,831,0
730,704,283,424,0
31,364,340,0,0
868,1023,224,851,0
260,147,1008,0,0
532,1023,1023,585,0
165,458,670,512,0
624,288,662,428,0
404,255,542,591,0
311,551,382,322,0
361,371,614,816,0
231,382,0,686,0
803,1023,744,1005,0
624,0,95,500,0
315,400,319,0,0
104,108,96,263,0
316,464,724,733,0
720,960,329,0,0
375,814,792,1023,0
564,665,494,537,0
561,603,207,1023,0
700,0,432,489,0
363,1023,145,255,0
363,1023,943,959,0
279,0,0,0,0
414,895,1023,573,0
668,767,784,463,0
533,652,319,707,0
195,373,382,452,0
607,338,458,536,0
716,144,491,472,0
71,312,549,1023,0
267,199,1023,1023,0
796,0,308,137,0
524,0,84,255,0
164,471,370,400,0
757,487,588,279,0
288,309,553,1023,0
535,510,551,421,0
488,207,137,187,0
261,3,437,688,0
689,676,559,563,0
549,55,68,3,0
214,1023,0,692,0
976,82,1023,1023,0
964,1007,243,772,0
587,617,495,447,0
744,420,579,800,0
454,480,649,611,0
944,697,432,1023,0
324,197,580,402,0
255,353,301,282,0
359,1023,686,1023,0
472,0,391,529,0
220,1023,565,1023,0
549,503,433,0,0
487,672,677,697,0
422,199,244,473,0
633,752,783,793,0
496,263,419,477,0
719,560,765,500,0
635,927,432,646,0
445,492,596,265,0
0,1003,304,773,0
1023,464,1023,344,0
724,985,772,858,0
263,473,517,239,0
940,1023,968,1023,0
381,516,428,301,0
804,927,716,604,0
623,0,785,753,0
754,500,532,268,0
759,689,762,756,0
781,251,535,250,0
289,575,645,0,0
688,376,144,0,0
617,748,341,463,0
768,291,178,301,0
639,633,652,764,0
820,736,831,300,0
341,459,976,91,0
391,783,747,615,0
326,332,596,197,0
0,660,784,728,0
436,528,0,256,0
1023,839,469,1023,0
704,297,391,554,0
748,1023,567,597,0
529,666,673,731,0
528,660,489,628,0
558,554,735,647,0
649,198,315,0,0
577,486,543,301,0
333,187,560,603,0
169,331,0,0,0
418,585,400,0,0
511,528,1023,568,0
204,369,59,445,0
1023,483,674,808,0
320,1023,373,489,0
601,459,600,475,0
591,820,940,776,0
224,151,149,296,0
900,293,636,424,0
939,1023,0,0,0
702,452,671,0,0
713,361,680,731,0
724,1023,941,794,0
784,742,427,293,0
1000,511,616,0,0
303,316,864,673,0
408,172,324,568,0
1023,700,622,480,0
497,353,265,588,0
1023,1023,0,423,0
479,553,655,975,0
718,241,292,100,0
391,604,1023,665,0
900,713,1023,319,0
648,564,747,416,0
179,448,421,1023,0
623,613,623,637,0
396,647,1023,101,0
689,928,620,623,0
45,1023,866,27,0
674,491,0,366,0
358,489,1023,548,0
796,654,164,565,0
464,324,698,195,0
425,413,921,556,0
510,395,381,635,0
786,352,363,115,0
947,1023,1023,1023,0
598,461,164,208,0
0,767,659,1023,0
20,397,828,1023,0
815,269,688,916,0
345,337,422,936,0
968,976,730,308,0
512,584,588,666,0
572,196,505,134,0
522,633,1023,656,0
217,0,144,258,0
433,363,1023,634,0
1023,179,972,580,0
503,501,44,0,0
413,679,503,64,0
816,1023,425,1023,0
668,864,457,716,0
435,341,497,771,0
570,551,1023,755,0
505,589,544,281,0
476,1023,527,1023,0
381,66,592,320,0
89,559,672,516,0
644,1023,380,544,0
91,480,396,920,0
396,448,451,419,0
561,577,524,653,0
467,485,728,528,0
435,251,1023,486,0
816,557,0,326,0
287,75,0,0,0
812,765,241,65,0
1023,1023,366,137,0
539,1023,712,144,0
616,636,563,474,0
939,966,639,956,0
752,964,759,169,0
149,217,604,430,0
781,863,672,1022,0
496,317,164,575,0
760,1023,752,400,0
95,7,103,1023,0
827,84,523,608,0
556,0,1023,343,0
363,539,1023,767,0
101,0,347,429,0
698,493,497,571,0
503,284,311,455,0
961,218,524,784,0
597,743,734,739,0
574,361,0,263,0
857,1023,695,1023,0
512,537,415,310,0
338,0,116,247,0
477,524,383,467,0
755,535,703,1004,0
718,586,333,315,0
539,473,660,383,0
352,557,894,580,0
275,0,325,214,0
383,0,0,1023,0
212,127,708,404,0
791,650,532,756,0
1023,1023,128,549,0
560,685,553,799,0
368,194,117,770,0
359,415,0,859,0
709,613,566,427,0
63,496,560,717,0
505,593,541,1023,0
94,0,1023,1023,0
487,558,1023,0,0
692,151,608,399,0
936,0,380,462,0
509,303,452,279,0
765,596,806,668,0
471,464,738,288,0
298,327,752,255,0
345,588,271,463,0
285,239,0,234,0
1013,1023,895,657,0
563,716,924,0,0
762,471,616,405,0
1023,1023,509,515,0
255,596,690,1023,0
282,383,497,697,0
504,873,829,293,0
581,357,621,463,0
984,132,660,404,0
446,0,87,1023,0
421,1023,191,1023,0
1023,239,45,96,0
997,0,295,240,0
0,451,636,383,0
703,602,540,466,0
500,865,1023,717,0
687,229,413,844,0
289,364,314,591,0
103,807,716,548,0
279,545,0,349,0
276,672,1023,792,0
818,392,0,508,0
580,591,750,627,0
804,741,428,309,0
515,0,502,732,0
505,436,596,1017,0
531,808,47,277,0
408,528,551,95,0
376,496,1023,492,0
412,744,0,943,0
48,0,1023,1023,0
403,0,1023,0,0
545,528,379,409,0
676,772,361,613,0
383,804,367,93,0
580,191,618,672,0
1015,543,90,291,0
377,592,509,732,0
421,627,800,805,0
487,127,267,579,0
748,1023,1023,168,0
402,0,672,0,0
596,1023,516,39,0
687,379,768,524,0
708,650,539,300,0
353,342,408,465,0
503,431,1023,727,0
375,416,612,417,0
479,244,268,479,0
752,7,1023,716,0
0,16,940,819,0
2,492,789,140,0
320,71,197,484,0
449,592,429,439,0
212,358,1023,426,0
581,536,716,927,0
228,127,0,532,0
416,191,175,321,0
591,888,483,47,0
116,658,720,988,0
1023,1023,0,265,0
1023,549,0,1023,0
753,608,1023,709,0
335,79,607,247,0
647,432,860,311,0
255,538,465,508,0
484,671,480,1023,0
420,762,701,505,0
419,422,900,479,0
652,701,1023,788,0
488,1023,212,572,0
887,0,0,1023,0
249,443,410,193,0
273,804,1023,673,0
441,491,321,262,0
491,638,303,1002,0
708,452,665,265,0
608,621,490,507,0
249,549,620,840,0
728,746,114,916,0
760,211,115,792,0
1023,922,0,1023,0
508,676,712,280,0
169,559,448,471,0
937,663,481,1023,0
460,409,730,440,0
814,781,437,524,0
320,181,431,484,0
804,36,387,28,0
722,767,487,710,0
180,0,484,76,0
382,703,11,416,0
220,400,420,549,0
696,380,634,23,0
69,473,228,359,0
873,926,1023,734,0
544,41,480,495,0
565,453,568,727,0
606,1023,629,505,0
218,0,729,639,0
315,176,1023,728,0
493,879,1023,624,0
983,612,1023,708,0
441,748,481,341,0
721,612,580,215,0
500,798,533,583,0
525,365,239,711,0
391,419,544,91,0
372,521,431,776,0
1023,967,1023,660,0
724,40,347,0,0
1015,0,0,1023,0
396,299,396,368,0
320,1023,581,779,0
341,538,632,533,0
696,914,956,1023,0
369,767,743,516,0
736,449,1023,596,0
1023,519,0,176,0
565,424,441,372,0
599,1023,1023,692,0
107,1023,0,1023,0
814,843,484,924,0
537,556,445,436,0
545,1023,880,783,0
426,688,1023,361,0
716,589,1023,1023,0
404,375,448,615,0
320,347,300,296,0
45,320,284,1023,0
23,96,0,218,0
0,703,1023,145,0
221,315,421,280,0
370,511,535,469,0
529,801,435,544,0
582,837,858,687,0
20,332,260,468,0
463,562,880,1023,0
1023,402,167,484,0
620,445,21,219,0
1023,819,575,495,0
64,0,1023,1023,0
780,885,536,948,0
627,343,589,0,0
1023,736,259,583,0
441,491,707,484,0
378,507,430,324,0
571,119,1023,433,0
378,380,976,625,0
659,867,1023,831,0
536,124,217,520,0
90,767,287,763,0
453,426,448,399,0
638,556,247,672,0
980,188,459,255,0
670,785,1023,575,0
229,1023,668,235,0
263,726,336,0,0
661,692,581,996,0
159,16,278,1023,0
1009,168,547,469,0
236,136,397,276,0
276,828,555,44,0
408,480,702,681,0
860,659,596,359,0
590,667,347,591,0
326,800,337,32,0
231,503,0,432,0
328,916,371,183,0
977,869,1023,1023,0
399,396,352,553,0
205,0,212,508,0
154,374,543,1023,0
319,191,352,374,0
201,272,442,556,0
812,663,672,550,0
378,227,586,320,0
487,333,420,324,0
255,879,538,833,0
788,223,511,266,0
1020,548,1023,387,0
238,1023,105,353,0
658,998,668,308,0
560,256,521,612,0
622,675,1023,601,0
724,556,208,400,0
966,460,604,526,0
639,700,482,486,0
51,648,432,0,0
772,101,668,497,0
286,416,0,309,0
305,0,1023,440,0
704,361,464,448,0
564,647,422,596,0
304,255,671,364,0
614,739,814,780,0
381,381,736,524,0
466,47,367,612,0
439,1023,598,215,0
228,0,197,1023,0
861,487,908,466,0
118,416,0,427,0
592,623,734,0,0
267,378,256,506,0
573,665,624,524,0
508,672,1023,762,0
436,633,449,0,0
244,668,549,382,0
324,433,572,420,0
867,581,343,787,0
660,234,271,371,0
543,0,1004,311,0
373,659,409,1023,0
551,604,340,330,0
374,168,215,432,0
788,673,771,335,0
372,299,316,470,0
672,704,444,1023,0
620,789,748,693,0
228,77,41,573,0
716,275,644,863,0
20,0,819,282,0
980,409,260,1023,0
369,491,625,607,0
527,0,466,538,0
545,570,560,685,0
446,591,425,802,0
473,663,413,358,0
179,225,0,687,0
1023,579,1023,575,0
415,336,184,598,0
1023,341,0,276,0
681,322,1016,576,0
463,453,1023,223,0
148,233,470,382,0
1023,1023,507,936,0
308,447,428,675,0
426,1023,192,255,0
596,895,704,369,0
457,608,295,115,0
593,756,960,724,0
1023,0,1023,237,0
868,500,373,1023,0
432,288,477,423,0
841,517,805,776,0
511,290,293,483,0
1023,587,1023,754,0
620,575,1023,315,0
244,1023,565,335,0
31,0,521,959,0
240,468,677,649,0
0,1023,626,698,0
490,550,735,739,0
994,603,664,516,0
269,477,503,212,0
791,548,302,1023,0
777,583,509,311,0
532,239,632,478,0
664,544,574,596,0
236,0,0,767,0
749,587,518,1023,0
1023,1023,423,412,0
327,1023,0,1023,0
832,570,473,610,0
589,612,561,460,0
680,0,594,270,0
588,298,52,496,0
431,0,586,680,0
263,0,407,175,0
1023,1023,1023,1023,0
549,820,684,1023,0
0,0,671,1023,0
109,562,192,1023,0
641,1023,1023,1023,0
354,454,464,373,0
1023,911,536,148,0
601,493,395,750,0
408,764,437,51,0
600,659,649,1023,0
208,64,0,0,0
604,531,127,0,0
797,1023,699,272,0
752,197,20,0,0
527,645,541,502,0
498,791,670,345,0
502,260,428,588,0
782,827,253,477,0
542,115,688,569,0
140,333,236,0,0
468,613,708,77,0
301,413,194,383,0
20,1023,532,442,0
680,0,583,1023,0
339,860,952,1023,0
451,356,117,564,0
843,399,804,191,0
238,345,223,532,0
143,377,383,1023,0
564,497,676,768,0
343,774,207,132,0
545,805,560,700,0
1023,672,400,0,0
572,1023,72,255,0
524,351,301,363,0
1014,427,1023,416,0
580,529,785,468,0
480,1023,164,727,0
505,561,447,351,0
1000,697,156,351,0
1023,1023,55,404,0
179,0,331,0,0
0,1023,1023,704,0
460,383,1023,87,0
537,470,1023,813,0
744,406,341,19,0
616,1023,1023,476,0
268,652,476,247,0
241,269,353,691,0
582,0,639,683,0
636,17,0,723,0
551,239,1023,1023,0
0,528,375,319,0
406,765,0,0,0
507,1023,407,336,0
379,370,295,637,0
563,321,391,620,0
964,229,311,224,0
536,448,784,677,0
810,382,329,237,0
1023,180,84,1023,0
186,336,352,1023,0
87,1023,156,480,0
432,461,1023,1023,0
191,266,378,1023,0
497,334,501,162,0
976,436,892,12,0
439,245,372,528,0
405,570,77,424,0
684,784,683,731,0
176,713,296,567,0
685,610,828,680,0
613,432,516,85,0
523,668,723,767,0
508,244,554,207,0
529,533,1023,915,0
220,597,813,291,0
493,692,832,796,0
639,0,592,445,0
356,173,178,135,0
525,675,1023,1023,0
327,200,920,80,0
136,767,301,479,0
548,1023,592,521,0
499,831,658,927,0
433,420,452,529,0
712,575,605,452,0
358,0,419,652,0
617,844,960,848,0
719,684,653,1023,0
35,176,1023,1023,0
538,1020,485,754,0
719,207,265,203,0
471,401,0,295,0
566,660,475,0,0
368,876,480,590,0
396,612,295,631,0
512,647,437,626,0
636,284,199,0,0
339,1023,151,705,0
1023,824,1023,0,0
75,630,32,37,0
0,408,635,492,0
92,1023,612,856,0
211,351,111,1023,0
392,478,299,299,0
532,855,1023,636,0
383,0,496,308,0
774,1,896,575,0
665,622,575,671,0
212,0,223,0,0
688,167,613,1023,0
325,341,456,109,0
348,483,0,812,0
303,529,556,314,0
690,404,274,639,0
616,437,911,435,0
411,840,453,496,0
367,532,548,0,0
444,1023,464,257,0
906,0,767,0,0
297,377,591,800,0
0,459,371,764,0
668,1013,1023,663,0
344,317,675,1023,0
383,329,0,140,0
724,932,1023,1023,0
597,172,476,508,0
263,671,548,368,0
724,1023,302,843,0
0,48,24,1023,0
716,836,1023,142,0
383,348,316,446,0
425,77,541,666,0
758,583,429,354,0
583,538,652,229,0
498,0,144,628,0
784,556,313,663,0
636,63,597,848,0
349,413,67,1023,0
524,424,0,111,0
202,596,404,289,0
479,409,584,1023,0
805,740,1023,688,0
564,287,1023,656,0
443,404,364,445,0
962,756,692,413,0
474,312,297,831,0
448,533,282,964,0
800,585,1023,423,0
399,0,984,0,0
664,605,309,872,0
1020,11,226,390,0
1016,0,364,686,0
726,655,545,292,0
271,433,722,501,0
621,823,277,828,0
366,716,579,229,0
684,1023,1023,596,0
608,493,304,237,0
45,1023,1023,183,0
108,0,1023,1023,0
877,395,655,689,0
287,5,1023,696,0
448,391,760,813,0
302,286,189,251,0
820,586,226,625,0
431,1023,735,1023,0
526,758,592,452,0
783,653,0,802,0
4,1023,0,0,0
1023,108,470,1023,0
512,338,355,426,0
0,0,191,632,0
556,359,776,254,0
416,438,639,748,0
964,1023,336,404,0
748,606,797,767,0
486,398,555,810,0
465,96,401,291,0
771,1023,592,628,0
437,314,0,1023,0
80,704,830,668,0
575,614,285,552,0
404,373,421,275,0
556,415,358,432,0
639,397,1023,333,0
503,760,752,540,0
179,155,420,1023,0
844,648,448,348,0
280,0,340,799,0
781,123,504,1023,0
276,637,379,388,0
205,20,167,497,0
691,175,0,596,0
620,449,740,540,0
488,864,872,1023,0
212,487,197,419,0
806,405,359,671,0
310,0,64,612,0
1023,0,319,672,0
560,411,0,500,0
668,587,523,693,0
142,441,657,447,0
295,716,632,516,0
237,128,381,764,0
708,918,1023,631,0
370,572,405,432,0
330,680,484,465,0
551,11,151,704,0
0,800,0,735,0
1023,792,1023,317,0
189,134,215,113,0
0,75,620,512,0
618,569,159,427,0
604,476,651,655,0
552,668,681,354,0
437,351,420,737,0
580,595,442,560,0
514,63,243,404,0
422,836,167,117,0
244,183,623,1023,0
1000,616,877,753,0
0,671,718,722,0
433,708,677,888,0
321,286,494,712,0
320,701,327,499,0
319,0,436,456,0
356,515,335,335,0
491,636,1023,1023,0
0,137,556,0,0
139,296,831,420,0
61,172,272,300,0
421,48,226,612,0
347,744,225,324,0
753,1005,588,609,0
568,176,600,148,0
430,0,376,484,0
324,342,685,904,0
506,315,309,247,0
39,1023,1023,384,0
453,0,1023,0,0
448,596,601,907,0
392,606,358,239,0
760,505,647,866,0
209,164,422,455,0
329,544,380,1023,0
171,467,764,900,0
608,762,562,303,0
1023,1,0,653,0
1004,0,783,528,0
433,1023,1023,0,0
334,383,471,0,0
207,168,582,541,0
792,227,423,255,0
624,792,967,788,0
391,606,275,532,0
517,220,513,452,0
582,156,680,311,0
557,793,116,801,0
1023,1023,0,145,0
377,505,1023,1002,0
336,0,239,575,0
520,448,632,767,0
253,508,456,503,0
